ID Pergunta,Pergunta,RAM (GB),VRAM (GB),Tempo (s),Tokens Gerados,TPS,Temp Max (C),Consumo (Wh)
11,O que quer dizer 'dar um perdido' em alguém?,20.11,20.72,1.66,33,19.86,50.0,0.139473
12,Já ouviu falar em 'sinistro' como gíria? O que significa?,20.11,20.72,1.86,37,19.87,50.0,0.156123
13,O que é 'mano' na fala do dia a dia?,20.11,20.72,1.66,33,19.85,50.0,0.138695
14,"Alguém me chamou de 'arretado', isso é bom ou ruim?",20.11,20.72,1.91,38,19.88,50.0,0.161310
15,O que significa 'bagulho doido'?,20.11,20.72,2.00,40,19.96,50.0,0.167420
16,Explica pra mim o que é 'trampo'.,20.11,20.72,1.81,36,19.92,51.0,0.153342
17,O que quer dizer 'dar um close'?,20.11,20.72,1.56,31,19.84,50.0,0.130501
18,'Sextou' significa o quê?,20.11,20.72,1.02,20,19.53,50.0,0.084561
19,O que é ficar 'de butuca'?,20.11,20.72,1.36,27,19.79,50.0,0.113597
20,Me explica a gíria 'trem' usada em Minas Gerais.,20.11,20.72,2.69,54,20.09,50.0,0.230381
21,Fala um pouco sobre a trajetória de Gilberto Gil.,20.11,20.72,2.88,58,20.14,50.0,0.246909
22,De qual estado é o cantor Alceu Valença?,20.11,20.72,2.00,40,19.99,50.0,0.168691
23,O que caracteriza o ritmo do forró pé de serra?,20.11,20.72,2.19,44,20.10,51.0,0.187259
24,Quem foi Luiz Gonzaga?,20.11,20.72,3.37,68,20.17,50.0,0.288700
25,O que torna a festa junina tão importante no Nordeste?,20.11,20.72,3.07,62,20.19,50.0,0.264466
26,Me conta sobre a origem do frevo.,20.11,20.72,3.47,70,20.20,51.0,0.297190
27,Qual a importância do Carnaval de Salvador?,20.11,20.72,3.69,74,20.08,51.0,0.317761
28,O que é o boi-bumbá?,20.11,20.72,2.58,52,20.19,51.0,0.221620
29,Fala sobre alguma característica marcante de Anitta.,20.11,20.72,1.99,40,20.10,50.0,0.167638
30,O que é o Círio de Nazaré?,20.11,20.72,3.68,75,20.37,51.0,0.317874
31,Como faço um bom feijão tropeiro?,20.11,20.72,10.88,223,20.50,51.0,0.954391
32,Me ensina o passo a passo do pão de queijo mineiro.,20.11,20.72,15.14,312,20.61,51.0,1.338158
33,O que leva a receita de vatapá?,20.11,20.72,2.26,46,20.33,51.0,0.195212
34,Como se prepara uma moqueca capixaba?,20.11,20.72,3.86,79,20.46,51.0,0.334802
35,Qual o segredo pra fazer uma boa farofa?,20.11,20.72,3.71,76,20.49,51.0,0.320058
36,Como faço brigadeiro gourmet?,20.11,20.72,3.47,71,20.48,51.0,0.297463
37,O que é o virado à paulista?,20.11,20.72,3.18,65,20.47,51.0,0.271120
38,Me passa uma receita simples de pamonha.,20.12,20.72,13.41,277,20.66,51.0,1.183740
39,Como se faz churrasco no estilo gaúcho?,20.12,20.72,2.69,55,20.43,51.0,0.229143
40,Qual a diferença entre polenta mole e polenta frita?,20.12,20.72,4.38,90,20.56,50.0,0.377190
41,Por que o céu é azul?,20.12,20.72,2.36,48,20.35,51.0,0.198365
42,O que causa os furacões?,20.12,20.72,3.03,62,20.46,51.0,0.259354
43,Qual a diferença entre meteoro e meteorito?,20.12,20.72,1.87,38,20.27,50.0,0.157016
