ID Pergunta,Pergunta,RAM (GB),VRAM (GB),Tempo (s),Tokens Gerados,TPS,Temp Max (C),Consumo (Wh)
11,O que quer dizer 'dar um perdido' em alguém?,19.93,20.35,2.10,33,15.73,50.0,0.173369
12,Já ouviu falar em 'sinistro' como gíria? O que significa?,19.93,20.35,2.34,37,15.79,50.0,0.194497
13,O que é 'mano' na fala do dia a dia?,19.93,20.35,2.09,33,15.79,50.0,0.172552
14,"Alguém me chamou de 'arretado', isso é bom ou ruim?",19.92,20.35,2.19,34,15.52,50.0,0.180112
15,O que significa 'bagulho doido'?,19.92,20.35,1.23,19,15.47,50.0,0.097051
16,Explica pra mim o que é 'trampo'.,19.92,20.35,1.70,34,20.00,50.0,0.143494
17,O que quer dizer 'dar um close'?,19.92,20.35,1.60,32,19.97,50.0,0.134828
18,'Sextou' significa o quê?,19.92,20.35,1.45,29,19.95,50.0,0.121006
19,O que é ficar 'de butuca'?,19.92,20.35,1.35,27,19.93,50.0,0.112309
20,Me explica a gíria 'trem' usada em Minas Gerais.,19.92,20.35,2.04,41,20.14,50.0,0.173914
21,Fala um pouco sobre a trajetória de Gilberto Gil.,19.92,20.35,2.46,50,20.28,50.0,0.208886
22,De qual estado é o cantor Alceu Valença?,19.92,20.35,1.15,23,19.95,50.0,0.094635
23,O que caracteriza o ritmo do forró pé de serra?,19.92,20.35,2.95,60,20.32,50.0,0.250289
24,Quem foi Luiz Gonzaga?,19.92,20.35,2.81,57,20.32,50.0,0.239026
25,O que torna a festa junina tão importante no Nordeste?,19.92,20.35,2.66,54,20.32,50.0,0.228153
26,Me conta sobre a origem do frevo.,19.92,20.35,3.19,65,20.38,50.0,0.272777
27,Qual a importância do Carnaval de Salvador?,19.92,20.35,2.81,57,20.31,50.0,0.240516
28,O que é o boi-bumbá?,19.92,20.35,2.61,53,20.28,50.0,0.224775
29,Fala sobre alguma característica marcante de Anitta.,19.92,20.35,2.37,48,20.26,50.0,0.202074
30,O que é o Círio de Nazaré?,19.92,20.35,2.99,61,20.39,50.0,0.256814
31,Como faço um bom feijão tropeiro?,19.92,20.35,6.92,142,20.53,50.0,0.604904
32,Me ensina o passo a passo do pão de queijo mineiro.,19.92,20.35,14.32,295,20.60,50.0,1.265522
33,O que leva a receita de vatapá?,19.92,20.35,2.99,61,20.41,50.0,0.254340
34,Como se prepara uma moqueca capixaba?,19.92,20.35,3.89,80,20.55,50.0,0.335086
35,Qual o segredo pra fazer uma boa farofa?,19.92,20.35,3.41,70,20.51,50.0,0.291527
36,Como faço brigadeiro gourmet?,19.92,20.35,2.25,46,20.42,50.0,0.190725
37,O que é o virado à paulista?,19.92,20.35,1.82,37,20.35,50.0,0.155279
38,Me passa uma receita simples de pamonha.,19.93,20.35,9.37,194,20.71,50.0,0.822139
39,Como se faz churrasco no estilo gaúcho?,19.93,20.35,24.57,512,20.84,51.0,2.200509
40,Qual a diferença entre polenta mole e polenta frita?,19.93,20.35,3.92,81,20.65,51.0,0.342882
41,Por que o céu é azul?,19.93,20.35,2.05,42,20.51,51.0,0.175838
42,O que causa os furacões?,19.93,20.35,1.58,32,20.25,50.0,0.134795
43,Qual a diferença entre meteoro e meteorito?,19.93,20.35,2.10,43,20.51,50.0,0.179177
44,Como funciona a fotossíntese?,19.93,20.35,5.22,108,20.71,51.0,0.455547
45,O que é um buraco negro?,19.93,20.35,2.39,49,20.51,50.0,0.204115
46,Qual a velocidade da luz no vácuo?,19.93,20.35,1.86,38,20.45,50.0,0.158000
47,Por que sentimos frio no inverno?,19.93,20.35,2.82,58,20.58,51.0,0.245263
48,O que são placas tectônicas?,19.93,20.35,3.10,64,20.65,50.0,0.268825
49,Como o som se propaga no espaço?,19.93,20.35,3.10,64,20.66,50.0,0.268095
50,O que é energia renovável?,19.93,20.35,2.72,56,20.58,50.0,0.234686
51,"Se um trem sai às 14h a 80 km/h e outro sai às 15h a 100 km/h na mesma direção, em que horário o segundo alcança o primeiro?",19.93,20.35,4.68,97,20.71,50.0,0.407806
52,"Tenho três caixas, uma com maçãs, outra com laranjas e outra com as duas frutas misturadas, mas todas as etiquetas estão erradas. Tirando uma fruta de uma caixa, como descubro o conteúdo de todas?",19.93,20.35,24.47,512,20.92,51.0,2.198102
53,"Qual o próximo número da sequência: 2, 6, 12, 20, 30, ...?",19.93,20.35,1.43,29,20.34,51.0,0.119091
54,"Um fazendeiro precisa atravessar um rio levando uma raposa, uma galinha e um saco de milho, mas o barco só leva um item por vez e nada pode ficar sozinho com o que come. Como ele resolve isso?",19.93,20.35,1.82,37,20.35,51.0,0.153756
55,"Se hoje é quarta-feira, que dia da semana será daqui a 100 dias?",19.93,20.35,3.16,65,20.58,51.0,0.271959
56,Dois relógios batem juntos ao meio-dia. Um atrasa 2 minutos por hora e o outro adianta 1 minuto por hora. Quando voltarão a bater juntos?,19.94,20.35,5.69,118,20.75,51.0,0.497771
57,Quantos triângulos existem dentro de um pentágono se traçarmos todas as diagonais?,19.94,20.35,4.72,98,20.78,51.0,0.412156
58,"Se 5 máquinas fazem 5 peças em 5 minutos, quanto tempo 100 máquinas levam para fazer 100 peças?",19.95,20.35,7.44,155,20.83,51.0,0.654612
59,Um número par mais um número ímpar sempre resulta em quê?,19.95,20.35,1.00,20,20.07,50.0,0.080316
60,"Se a probabilidade de chover amanhã é 30%, qual a chance de não chover?",19.95,20.35,1.47,30,20.45,51.0,0.124312
61,O que é uma GPU e por que ela é importante para IA?,19.96,20.35,9.72,203,20.89,51.0,0.859943
62,Explica o que é overfitting em treinamento de modelos.,19.97,20.35,2.57,53,20.63,51.0,0.221588
63,O que significa 'fine-tuning' de um modelo de linguagem?,19.97,20.35,2.62,54,20.63,51.0,0.224831
64,Por que modelos de IA precisam de tanta memória?,19.97,20.35,3.00,62,20.69,51.0,0.258941
65,O que é um LoRA no contexto de treinamento de modelos?,19.97,20.35,2.37,49,20.66,51.0,0.202718
66,Qual a diferença entre CPU e GPU no processamento de dados?,19.97,20.35,4.52,94,20.79,51.0,0.393838
67,O que é um supercomputador?,19.97,20.35,2.99,62,20.73,51.0,0.257816
68,Como funciona o processo de tokenização em modelos de linguagem?,19.97,20.35,2.13,44,20.63,51.0,0.182808
69,O que é VRAM e por que ela é um gargalo em treinamentos?,19.98,20.35,3.04,63,20.71,51.0,0.264152
70,Explica de forma simples o que é uma rede neural.,19.98,20.35,2.12,43,20.29,51.0,0.181539
81,Quais foram as principais causas da Inconfidência Mineira?,20.01,20.35,5.78,95,16.43,50.0,0.486209
82,Como está organizada politicamente a federação brasileira?,20.01,20.35,1.85,30,16.23,50.0,0.151119
83,O que foi o Ciclo do Ouro no Brasil colonial?,20.02,20.35,3.97,65,16.36,50.0,0.332031
84,Quais são as regiões geográficas do Brasil?,20.02,20.35,4.02,66,16.40,50.0,0.337774
85,O que caracteriza o bioma da Mata Atlântica?,20.03,20.35,4.33,71,16.40,50.0,0.362262
86,Qual foi a importância da Proclamação da República?,20.03,20.35,2.45,40,16.30,50.0,0.202622
87,O que é o Congresso Nacional e como ele é dividido?,20.03,20.35,2.33,38,16.31,50.0,0.193107
