ID Pergunta,Pergunta,RAM (GB),VRAM (GB),Tempo (s),Tokens Gerados,TPS,Temp Max (C),Consumo (Wh)
11,O que quer dizer 'dar um perdido' em alguém?,20.06,20.72,1.74,35,20.13,50.0,0.145498
12,Já ouviu falar em 'sinistro' como gíria? O que significa?,20.06,20.72,1.73,35,20.18,50.0,0.143668
13,O que é 'mano' na fala do dia a dia?,20.06,20.72,1.74,35,20.13,50.0,0.144635
14,"Alguém me chamou de 'arretado', isso é bom ou ruim?",20.06,20.72,1.59,32,20.07,50.0,0.134216
15,O que significa 'bagulho doido'?,20.06,20.72,1.06,21,19.84,50.0,0.086551
16,Explica pra mim o que é 'trampo'.,20.06,20.72,1.88,38,20.22,50.0,0.157247
17,O que quer dizer 'dar um close'?,20.06,20.72,1.49,30,20.18,50.0,0.122080
18,'Sextou' significa o quê?,20.06,20.72,1.63,33,20.25,50.0,0.137314
19,O que é ficar 'de butuca'?,20.06,20.72,1.35,27,20.03,50.0,0.109338
20,Me explica a gíria 'trem' usada em Minas Gerais.,20.06,20.72,1.44,29,20.08,50.0,0.117646
21,Fala um pouco sobre a trajetória de Gilberto Gil.,20.06,20.72,2.06,42,20.34,50.0,0.173916
22,De qual estado é o cantor Alceu Valença?,20.06,20.72,0.43,8,18.72,50.0,0.030219
23,O que caracteriza o ritmo do forró pé de serra?,20.06,20.72,2.43,49,20.16,50.0,0.205401
24,Quem foi Luiz Gonzaga?,20.06,20.72,3.52,72,20.45,50.0,0.302284
25,O que torna a festa junina tão importante no Nordeste?,20.06,20.72,6.03,124,20.57,51.0,0.527782
26,Me conta sobre a origem do frevo.,20.06,20.72,2.16,44,20.37,51.0,0.183925
27,Qual a importância do Carnaval de Salvador?,20.06,20.72,3.18,65,20.42,51.0,0.272240
28,O que é o boi-bumbá?,20.06,20.72,2.06,42,20.37,50.0,0.174353
29,Fala sobre alguma característica marcante de Anitta.,20.06,20.72,2.55,52,20.43,50.0,0.216935
30,O que é o Círio de Nazaré?,20.06,20.72,3.61,74,20.50,51.0,0.308475
31,Como faço um bom feijão tropeiro?,20.06,20.72,8.25,171,20.73,50.0,0.730318
32,Me ensina o passo a passo do pão de queijo mineiro.,20.06,20.72,15.55,324,20.83,51.0,1.377608
33,O que leva a receita de vatapá?,20.06,20.72,3.67,76,20.70,51.0,0.317086
34,Como se prepara uma moqueca capixaba?,20.07,20.72,4.26,88,20.65,51.0,0.370735
35,Qual o segredo pra fazer uma boa farofa?,20.07,20.72,3.62,75,20.69,50.0,0.313885
36,Como faço brigadeiro gourmet?,20.07,20.72,3.67,76,20.71,50.0,0.318162
37,O que é o virado à paulista?,20.07,20.72,3.47,72,20.75,50.0,0.300846
38,Me passa uma receita simples de pamonha.,20.07,20.72,7.21,150,20.82,50.0,0.627967
39,Como se faz churrasco no estilo gaúcho?,20.07,20.72,2.71,56,20.68,50.0,0.231028
40,Qual a diferença entre polenta mole e polenta frita?,20.07,20.72,4.52,94,20.79,50.0,0.396208
41,Por que o céu é azul?,20.07,20.72,3.52,73,20.75,50.0,0.305774
42,O que causa os furacões?,20.07,20.72,3.14,65,20.73,50.0,0.270738
43,Qual a diferença entre meteoro e meteorito?,20.07,20.72,2.42,50,20.62,50.0,0.208661
44,Como funciona a fotossíntese?,20.07,20.72,5.09,106,20.83,50.0,0.440722
45,O que é um buraco negro?,20.07,20.72,2.81,58,20.68,50.0,0.241063
46,Qual a velocidade da luz no vácuo?,20.07,20.72,1.66,34,20.49,50.0,0.138076
47,Por que sentimos frio no inverno?,20.07,20.72,1.86,38,20.46,50.0,0.157652
48,O que são placas tectônicas?,20.07,20.72,2.95,61,20.69,50.0,0.252948
49,Como o som se propaga no espaço?,20.07,20.72,3.52,73,20.76,50.0,0.304409
50,O que é energia renovável?,20.07,20.72,3.06,63,20.58,50.0,0.266337
51,"Se um trem sai às 14h a 80 km/h e outro sai às 15h a 100 km/h na mesma direção, em que horário o segundo alcança o primeiro?",20.07,20.72,6.71,140,20.86,50.0,0.589197
52,"Tenho três caixas, uma com maçãs, outra com laranjas e outra com as duas frutas misturadas, mas todas as etiquetas estão erradas. Tirando uma fruta de uma caixa, como descubro o conteúdo de todas?",20.07,20.72,15.04,315,20.95,50.0,1.333588
53,"Qual o próximo número da sequência: 2, 6, 12, 20, 30, ...?",20.07,20.72,1.42,29,20.46,50.0,0.117821
54,"Um fazendeiro precisa atravessar um rio levando uma raposa, uma galinha e um saco de milho, mas o barco só leva um item por vez e nada pode ficar sozinho com o que come. Como ele resolve isso?",20.07,20.72,3.62,75,20.74,50.0,0.313320
55,"Se hoje é quarta-feira, que dia da semana será daqui a 100 dias?",20.07,20.72,0.85,17,20.03,50.0,0.068315
56,Dois relógios batem juntos ao meio-dia. Um atrasa 2 minutos por hora e o outro adianta 1 minuto por hora. Quando voltarão a bater juntos?,20.07,20.72,6.72,140,20.85,50.0,0.588560
57,Quantos triângulos existem dentro de um pentágono se traçarmos todas as diagonais?,20.07,20.72,5.31,111,20.89,50.0,0.461206
58,"Se 5 máquinas fazem 5 peças em 5 minutos, quanto tempo 100 máquinas levam para fazer 100 peças?",20.07,20.72,5.08,106,20.85,50.0,0.442502
59,Um número par mais um número ímpar sempre resulta em quê?,20.07,20.72,2.46,51,20.72,50.0,0.209001
60,"Se a probabilidade de chover amanhã é 30%, qual a chance de não chover?",20.07,20.72,1.46,30,20.48,50.0,0.121808
61,O que é uma GPU e por que ela é importante para IA?,20.07,20.72,3.03,63,20.81,50.0,0.260923
62,Explica o que é overfitting em treinamento de modelos.,20.07,20.72,3.60,75,20.86,50.0,0.316302
63,O que significa 'fine-tuning' de um modelo de linguagem?,20.07,20.72,3.86,80,20.72,50.0,0.331760
64,Por que modelos de IA precisam de tanta memória?,20.07,20.72,2.65,55,20.75,50.0,0.227493
65,O que é um LoRA no contexto de treinamento de modelos?,20.07,20.72,2.98,62,20.79,50.0,0.257191
66,Qual a diferença entre CPU e GPU no processamento de dados?,20.07,20.72,4.12,86,20.88,50.0,0.357331
67,O que é um supercomputador?,20.07,20.72,2.65,55,20.74,50.0,0.226572
68,Como funciona o processo de tokenização em modelos de linguagem?,20.07,20.72,2.60,54,20.74,50.0,0.222828
69,O que é VRAM e por que ela é um gargalo em treinamentos?,20.07,20.72,2.94,61,20.77,50.0,0.251860
70,Explica de forma simples o que é uma rede neural.,20.07,20.72,2.60,54,20.79,50.0,0.222900
81,Quais foram as principais causas da Inconfidência Mineira?,20.10,20.72,3.88,81,20.85,50.0,0.335141
82,Como está organizada politicamente a federação brasileira?,20.10,20.72,1.70,35,20.57,50.0,0.144645
83,O que foi o Ciclo do Ouro no Brasil colonial?,20.10,20.72,3.32,69,20.80,50.0,0.284710
84,Quais são as regiões geográficas do Brasil?,20.10,20.72,2.39,49,20.48,50.0,0.205880
85,O que caracteriza o bioma da Mata Atlântica?,20.11,20.72,4.08,85,20.85,50.0,0.353713
86,Qual foi a importância da Proclamação da República?,20.11,20.72,1.04,21,20.24,50.0,0.086966
87,O que é o Congresso Nacional e como ele é dividido?,20.11,20.72,1.89,39,20.62,50.0,0.158341
88,Quais rios formam a Bacia Amazônica?,20.11,20.72,2.08,43,20.69,50.0,0.177235
89,O que foi a Revolta da Vacina?,20.11,20.72,4.79,100,20.90,51.0,0.417444
90,Como funciona o sistema de eleições no Brasil?,20.11,20.72,2.70,56,20.75,50.0,0.230423
