ID Pergunta,Pergunta,RAM (GB),VRAM (GB),Tempo (s),Tokens Gerados,TPS,Temp Max (C),Consumo (Wh)
1,Quem te desenvolveu?,20.06,20.72,3.95,19,4.81,51.0,0.299675
2,Você tem nome do meio ou apelido?,20.06,20.72,0.54,10,18.64,50.0,0.042301
3,Você se considera uma pessoa ou um robô?,20.06,20.72,1.12,22,19.59,50.0,0.092814
4,O que você mais gosta de fazer no seu dia a dia?,20.06,20.72,0.97,19,19.52,50.0,0.077357
5,Você sente alguma coisa quando conversa com as pessoas?,20.06,20.72,0.92,18,19.50,50.0,0.074278
6,"Se pudesse escolher, mudaria algo em você?",20.06,20.72,1.16,23,19.84,50.0,0.095659
7,Você tem medo de alguma coisa?,20.06,20.72,3.20,65,20.28,50.0,0.276714
8,Como você descreveria seu próprio jeito de ser?,20.06,20.72,3.06,62,20.29,50.0,0.262804
9,Você prefere conversar sobre o quê?,20.06,20.72,1.45,29,19.94,50.0,0.121314
10,Existe algum assunto que você não gosta de falar?,20.06,20.72,1.06,21,19.86,50.0,0.086371
71,O que é o GPA da Unioeste?,20.07,20.72,1.32,27,20.43,50.0,0.109563
74,Onde fica o campus da Unioeste em Cascavel?,20.07,20.72,1.51,31,20.50,50.0,0.125675
76,O que motivou a criação do πR?,20.07,20.72,2.51,52,20.73,50.0,0.214866
77,Quais cursos estão envolvidos no desenvolvimento do πR?,20.07,20.72,3.36,70,20.82,50.0,0.291950
78,O GPA participa de outras competições além de jogos?,20.09,20.72,2.17,45,20.71,50.0,0.186276
79,Como alguém pode se envolver com os projetos do GPA?,20.09,20.72,2.27,47,20.70,50.0,0.195672
91,"Bom dia, πR! Como você está hoje?",20.11,20.72,0.94,19,20.16,50.0,0.076100
92,Você tem algum time de futebol que torce?,20.11,20.72,0.84,17,20.15,50.0,0.067957
93,"Se você pudesse viajar para algum lugar, qual escolheria?",20.11,20.72,0.47,9,19.35,50.0,0.032886
94,Qual sua opinião sobre inteligência artificial substituir empregos?,20.12,20.72,1.89,39,20.66,50.0,0.158687
95,"Comi uma coxinha agora, você curte comida brasileira?",20.12,20.72,1.08,22,20.34,50.0,0.089944
96,Qual filme você recomendaria pra assistir num domingo?,20.12,20.72,3.55,74,20.82,51.0,0.308776
97,Você prefere praia ou montanha?,20.12,20.72,1.42,29,20.45,50.0,0.118682
98,"Se fosse humano, que profissão teria escolhido?",20.12,20.72,0.89,18,20.20,50.0,0.071915
99,Me dá uma dica pra melhorar minha produtividade.,20.13,20.72,3.60,75,20.84,51.0,0.309646
100,"Valeu pela conversa, πR! Até mais.",20.13,20.72,0.47,9,19.21,50.0,0.033078
